lesionTipo,fecha,lesionRango,granja,edadEnDias,ciclo,noGalpon,planVacuna,influenzaVacuna,newcastleVacuna,gumboroVacuna,lesionPromedio,nAnimal,sexoAnimales,bursometro,condicionHigado,integridadIntestinal
PiernasPalidas,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Rasguños,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
LesionCojinetePlantar,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
LesionCavidadOral,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
RetencionSacoVitelino,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
AtrofiaTimo,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
DañoBolsa,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
NecrosisCabezaFemur,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
DiscondroplasiaTibial,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Traqueitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Aerosaculitis,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Cardiovascular,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
ErosionMolleja,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
ComedorCama,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Proventriculitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
IntestinosEngrosados,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
IntestinosAdelgazados,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
E.acervulina,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
E.maxima,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
E.tenella,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
ExcesoMocoIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
ExcesoFluidoIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
DescamacionIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Tenias,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
EnteritisNecrotica,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
PasajeAlimento,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
GasCecal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
HiperemiaIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
QuemaduraAmoniaco,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Aspergilosis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Ascitis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
Ascaridios/GusanosRedondos,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
HemorragiasPetequiales,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,4,-,0,-,0
PiernasPalidas,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Rasguños,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
LesionCojinetePlantar,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
LesionCavidadOral,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
RetencionSacoVitelino,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
AtrofiaTimo,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
DañoBolsa,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
NecrosisCabezaFemur,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
DiscondroplasiaTibial,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Traqueitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Aerosaculitis,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Cardiovascular,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
ErosionMolleja,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
ComedorCama,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Proventriculitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
IntestinosEngrosados,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
IntestinosAdelgazados,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
E.acervulina,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
E.maxima,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
E.tenella,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
ExcesoMocoIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
ExcesoFluidoIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
DescamacionIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Tenias,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
EnteritisNecrotica,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
PasajeAlimento,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
GasCecal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
HiperemiaIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
QuemaduraAmoniaco,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Aspergilosis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Ascitis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
Ascaridios/GusanosRedondos,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
HemorragiasPetequiales,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,5,-,0,-,0
PiernasPalidas,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Rasguños,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
LesionCojinetePlantar,30-12-2020 00:00:00,0-3,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
LesionCavidadOral,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
RetencionSacoVitelino,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
AtrofiaTimo,30-12-2020 00:00:00,0-2,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
DañoBolsa,30-12-2020 00:00:00,0-3,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
NecrosisCabezaFemur,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
DiscondroplasiaTibial,30-12-2020 00:00:00,0-3,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Traqueitis,30-12-2020 00:00:00,0-3,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Aerosaculitis,30-12-2020 00:00:00,0-4,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Cardiovascular,30-12-2020 00:00:00,0-3,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
ErosionMolleja,30-12-2020 00:00:00,0-3,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
ComedorCama,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Proventriculitis,30-12-2020 00:00:00,0-3,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
IntestinosEngrosados,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
IntestinosAdelgazados,30-12-2020 00:00:00,0-2,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
E.acervulina,30-12-2020 00:00:00,0-4,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
E.maxima,30-12-2020 00:00:00,0-4,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
E.tenella,30-12-2020 00:00:00,0-4,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
ExcesoMocoIntestinal,30-12-2020 00:00:00,0-2,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,1,1,H,5,-,8
ExcesoFluidoIntestinal,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
DescamacionIntestinal,30-12-2020 00:00:00,0-2,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Tenias,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
EnteritisNecrotica,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
PasajeAlimento,30-12-2020 00:00:00,0-2,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
GasCecal,30-12-2020 00:00:00,0-2,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,1,1,H,5,-,8
HiperemiaIntestinal,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
QuemaduraAmoniaco,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Aspergilosis,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Ascitis,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
Ascaridios/GusanosRedondos,30-12-2020 00:00:00,0-1,Miramar,1,35,1,P1T3,Trovac,Merial,Avipro,0,1,H,5,-,8
